task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
550	4f/be46c3	f5908b15-1b0b-4baf-b3a4-9ad0c0e27817	sourmash_compute_sketch (SRR4050928_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.404	19m 45s	4m 15s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
551	f1/128c07	c6e93599-6f0e-4b69-a8c3-135fd8189656	sourmash_compute_sketch (SRR4050929_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.420	14m 3s	7.9s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
553	12/9dd8e2	69dfc292-7017-4991-ba19-af0d6b1f5bda	sourmash_compute_sketch (SRR4050931_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.605	13m 44s	12.8s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
552	45/30ae97	cb902bda-fdd7-4905-b957-b8e52d4479d5	sourmash_compute_sketch (SRR4050930_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.410	19m 46s	5m 11s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
555	14/8e9e72	249e274b-b9d6-4ebd-82ce-a06ade920187	sourmash_compute_sketch (SRR4050933_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.728	19m 47s	5m 3s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
554	e2/14239d	826f7306-9612-4099-949f-fc18feb0cd51	sourmash_compute_sketch (SRR4050932_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.556	13m 44s	13.3s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
556	33/c55caa	69aae2c8-8884-4ec4-802b-7da1c7e00de7	sourmash_compute_sketch (SRR4050934_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.609	19m 46s	4m 31s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
559	f8/c23ff9	c0f0dfef-90ae-415c-9d34-679d2d8f9a5a	sourmash_compute_sketch (SRR4050937_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.706	19m 47s	4m 58s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
557	41/447d0c	6aa8e7fd-503d-4b27-9468-cae62d1ebaf8	sourmash_compute_sketch (SRR4050935_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.754	19m 48s	3m 21s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
560	aa/1a5a9a	222756ee-d267-476d-b21f-66f74b838b45	sourmash_compute_sketch (SRR4050938_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.782	19m 48s	5m 40s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
561	4c/4508b8	7da59750-1e4f-4f45-a7f6-783582abb699	sourmash_compute_sketch (SRR4050939_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.763	19m 48s	5m 30s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
558	f5/6de967	3e544943-c3df-42c0-9061-26411033d564	sourmash_compute_sketch (SRR4050936_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:41.045	19m 55s	4m 7s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
562	13/e6ee8f	e5c2a886-523d-4f89-b867-e48aa29bc6b0	sourmash_compute_sketch (SRR4050940_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	-	2019-03-11 09:55:39.770	-	-	-	-	-	-	-
563	f8/d95491	699595b7-ca46-4535-bb27-14c45178d663	sourmash_compute_sketch (SRR4050941_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:40.916	19m 54s	5m 37s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
564	f5/2c96b2	c035f0db-4300-487e-ada1-45a17a8885e4	sourmash_compute_sketch (SRR4050942_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:40.280	19m 48s	3m 54s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
568	8c/2e194a	b5b52b32-1af7-43a9-ac3b-16fa62dd1e24	sourmash_compute_sketch (SRR4050946_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:40.417	19m 49s	4m 1s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
